mode,overall,alpha,lam,lr,best_auc,test_loss,test_acc,test_auc
Weighted cosine,False,1.000000,10000,0.001000,0.836232,0.510827,0.753600,0.844033
Unweighted cosine,False,1.000000,30000,0.001000,0.836277,0.532202,0.751300,0.838782
Weighted cosine,False,1.000000,30000,0.001000,0.833289,0.503982,0.758600,0.841904
Unweighted cosine,True,1.000000,300,0.001000,0.837228,0.501064,0.761300,0.842667
Weighted cosine,True,1.000000,300,0.001000,0.840126,0.497110,0.763700,0.846685
Unweighted cosine,True,1.000000,1000,0.001000,0.840050,0.505447,0.758000,0.848861
Weighted cosine,True,1.000000,1000,0.001000,0.838352,0.509892,0.758300,0.847110
Unweighted cosine,True,1.000000,3000,0.001000,0.843092,0.475051,0.771300,0.853397
Weighted cosine,True,1.000000,3000,0.001000,0.830307,0.526452,0.737200,0.839794
Unweighted cosine,True,1.000000,10000,0.001000,0.842051,0.478983,0.775000,0.851904
Weighted cosine,True,1.000000,10000,0.001000,0.839027,0.485385,0.764100,0.848577
Unweighted cosine,True,1.000000,30000,0.001000,0.839609,0.527343,0.753200,0.843024
Weighted cosine,True,1.000000,30000,0.001000,0.840377,0.501610,0.761700,0.845169
Unweighted cosine,False,1.000000,300,0.001000,0.835026,0.494869,0.763500,0.844725
Weighted cosine,False,1.000000,300,0.001000,0.840980,0.499046,0.763900,0.847565
Unweighted cosine,False,1.000000,1000,0.001000,0.835504,0.516780,0.751800,0.843560
Weighted cosine,False,1.000000,1000,0.001000,0.837457,0.527841,0.751300,0.845085
Unweighted cosine,False,1.000000,3000,0.001000,0.836340,0.494676,0.765200,0.845691
Weighted cosine,False,1.000000,3000,0.001000,0.828988,0.502011,0.759700,0.840085
Unweighted cosine,False,1.000000,10000,0.001000,0.833481,0.537154,0.743600,0.834001
Weighted cosine,False,1.000000,10000,0.001000,0.832725,0.506166,0.753400,0.840574
Unweighted cosine,False,1.000000,30000,0.001000,0.693007,0.692165,0.495100,0.690476
Weighted cosine,False,1.000000,30000,0.001000,0.810732,0.534383,0.733200,0.819571
Unweighted cosine,True,1.000000,300,0.001000,0.838198,0.523773,0.751300,0.846348
