run,mode,overall,alpha,lam,loss
3,Projection,False,1,30,0.3138508
3,Weighted cosine,False,0.01,30,0.30660716
3,Weighted cosine,False,1,30,0.30688617
3,Unweighted cosine,False,0.01,30,0.31094843
3,Unweighted cosine,False,1,30,0.29624802
3,Orthogonal,False,0.01,30,0.30682275
3,Orthogonal,False,1,30,0.31632483
3,Multitask,False,1,10,0.31738466
3,Projection,False,0.01,10,0.29683512
3,Projection,False,1,10,0.31446877
3,Weighted cosine,False,0.01,10,0.35934561
3,Weighted cosine,False,1,10,0.35104606
3,Unweighted cosine,False,0.01,10,0.31087464
3,Unweighted cosine,False,1,10,0.30682698
3,Orthogonal,False,0.01,10,0.30865946
3,Orthogonal,False,1,10,0.30201128
3,Multitask,False,1,3,0.31520975
3,Projection,False,0.01,3,0.3053716
3,Projection,False,1,3,0.30291098
3,Weighted cosine,False,0.01,3,0.29642203
3,Weighted cosine,False,1,3,0.30223286
3,Unweighted cosine,False,0.01,3,0.32779926
3,Unweighted cosine,False,1,3,0.30674958
3,Orthogonal,False,0.01,3,0.29851228
3,Orthogonal,False,1,3,0.31340256
3,Multitask,False,1,1,0.3130115
3,Projection,False,0.01,1,0.337644
3,Projection,False,1,1,0.30718565
3,Weighted cosine,False,0.01,1,0.30684432
3,Weighted cosine,False,1,1,0.3236651
3,Unweighted cosine,False,0.01,1,0.30385253
3,Unweighted cosine,False,1,1,0.32901016
3,Orthogonal,False,0.01,1,0.2996016
3,Orthogonal,False,1,1,0.291186
4,Single task,False,1,0,0.29699782
4,Multitask,False,1,300,0.6473886
4,Projection,False,0.01,300,0.30944836
4,Projection,False,1,300,0.5641809
4,Weighted cosine,False,0.01,300,0.30555472
4,Weighted cosine,False,1,300,0.29222548
4,Unweighted cosine,False,0.01,300,0.29965714
4,Unweighted cosine,False,1,300,0.31953254
4,Orthogonal,False,0.01,300,0.3804688
4,Orthogonal,False,1,300,0.5527749
4,Multitask,False,1,100,0.44788015
4,Projection,False,0.01,100,0.29912516
4,Projection,False,1,100,0.35392827
4,Weighted cosine,False,0.01,100,0.32354632
4,Weighted cosine,False,1,100,0.29641685
4,Unweighted cosine,False,0.01,100,0.29810548
4,Unweighted cosine,False,1,100,0.30871862
4,Orthogonal,False,0.01,100,0.29547924
4,Orthogonal,False,1,100,0.37492493
4,Multitask,False,1,30,0.3116746
4,Projection,False,0.01,30,0.3014922
4,Projection,False,1,30,0.32588235
4,Weighted cosine,False,0.01,30,0.32399136
4,Weighted cosine,False,1,30,0.2973847
4,Unweighted cosine,False,0.01,30,0.2954316
4,Unweighted cosine,False,1,30,0.30288675
4,Orthogonal,False,0.01,30,0.32283285
4,Orthogonal,False,1,30,0.3113153
4,Multitask,False,1,10,0.30247813
4,Projection,False,0.01,10,0.2941301
4,Projection,False,1,10,0.32529923
4,Weighted cosine,False,0.01,10,0.31877497
4,Weighted cosine,False,1,10,0.31788233
4,Unweighted cosine,False,0.01,10,0.33921352
4,Unweighted cosine,False,1,10,0.29307735
4,Orthogonal,False,0.01,10,0.33807603
4,Orthogonal,False,1,10,0.34954384
4,Multitask,False,1,3,0.32147893
4,Projection,False,0.01,3,0.3036193
4,Projection,False,1,3,0.33795193
4,Weighted cosine,False,0.01,3,0.30066806
4,Weighted cosine,False,1,3,0.31067368
4,Unweighted cosine,False,0.01,3,0.36056563
4,Unweighted cosine,False,1,3,0.30636862
4,Orthogonal,False,0.01,3,0.32336676
4,Orthogonal,False,1,3,0.2946486
4,Multitask,False,1,1,0.3294866
4,Projection,False,0.01,1,0.3104298
4,Projection,False,1,1,0.30335483
4,Weighted cosine,False,0.01,1,0.28907996
4,Weighted cosine,False,1,1,0.30758068
4,Unweighted cosine,False,0.01,1,0.29830095
