lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
1000.000000,868.670471,100000.000000,0.001000,False,0.839810,0.496656,0.764600,0.848676
3000.000000,2934.716309,100000.000000,0.001000,False,0.837556,0.515560,0.754700,0.846784
10000.000000,9917.257812,100000.000000,0.001000,False,0.829262,0.502781,0.757900,0.840655
30000.000000,29921.382812,100000.000000,0.001000,False,0.829259,0.507977,0.752100,0.838197
300.000000,299.878326,100.000000,0.001000,False,0.835564,0.507897,0.752800,0.844154
1000.000000,999.885742,100.000000,0.001000,False,0.838195,0.510214,0.761000,0.845480
3000.000000,2999.910400,100.000000,0.001000,False,0.837971,0.495355,0.762500,0.847135
10000.000000,9999.975586,100.000000,0.001000,False,0.836632,0.491884,0.762600,0.844798
30000.000000,30000.000000,100.000000,0.001000,False,0.835497,0.538712,0.737100,0.837300
300.000000,299.218628,1000.000000,0.001000,False,0.833533,0.509993,0.753700,0.843244
1000.000000,998.701721,1000.000000,0.001000,False,0.839462,0.488659,0.768000,0.846815
3000.000000,2999.629883,1000.000000,0.001000,False,0.835760,0.490083,0.765000,0.847053
10000.000000,9999.119141,1000.000000,0.001000,False,0.834611,0.500043,0.759200,0.842707
30000.000000,29999.566406,1000.000000,0.001000,False,0.832737,0.504165,0.756700,0.837792
300.000000,294.820557,10000.000000,0.001000,False,0.834519,0.509468,0.753400,0.844457
1000.000000,994.116699,10000.000000,0.001000,False,0.839280,0.499176,0.761300,0.847531
3000.000000,2996.593018,10000.000000,0.001000,False,0.836576,0.491201,0.766500,0.844494
10000.000000,9995.141602,10000.000000,0.001000,False,0.835830,0.519255,0.751500,0.844198
30000.000000,29992.916016,10000.000000,0.001000,False,0.833513,0.518203,0.751200,0.837666
300.000000,51.659332,100000.000000,0.001000,False,0.836111,0.498215,0.759700,0.843816
1000.000000,929.646301,100000.000000,0.001000,False,0.836450,0.503750,0.760300,0.841789
3000.000000,2923.566162,100000.000000,0.001000,False,0.835127,0.508128,0.756100,0.841855
10000.000000,9928.310547,100000.000000,0.001000,False,0.834643,0.496393,0.760200,0.842918
30000.000000,29920.990234,100000.000000,0.001000,False,0.832646,0.513015,0.754100,0.834973
300.000000,299.850983,100.000000,0.001000,False,0.838191,0.505320,0.760500,0.847150
1000.000000,999.941162,100.000000,0.001000,False,0.838510,0.495655,0.763600,0.846806
