lam,alpha,mode,run,accuracy
0.3,0.01,Projection,13,0.875
0.3,0.01,Unweighted,13,0.859375
0.3,0.01,Weighted,13,0.86171875
0.3,1.0,Multitask,13,0.86953125
0.3,1.0,Orthogonal,13,0.8640625
0.3,1.0,Projection,13,0.86875
0.3,1.0,Unweighted,13,0.86640625
0.3,1.0,Weighted,13,0.86875
1.0,0.01,Orthogonal,13,0.865625
1.0,0.01,Projection,13,0.875
1.0,0.01,Unweighted,13,0.86171875
1.0,0.01,Weighted,13,0.8515625
1.0,1.0,Multitask,13,0.86796875
1.0,1.0,Orthogonal,13,0.865625
1.0,1.0,Projection,13,0.86875
1.0,1.0,Unweighted,13,0.86484375
1.0,1.0,Weighted,13,0.8609375
10.0,0.01,Orthogonal,13,0.85390625
10.0,0.01,Projection,13,0.86015625
10.0,0.01,Unweighted,13,0.8609375
10.0,0.01,Weighted,13,0.85078125
10.0,1.0,Multitask,13,0.86328125
10.0,1.0,Orthogonal,13,0.8609375
10.0,1.0,Projection,13,0.85625
10.0,1.0,Unweighted,13,0.853125
10.0,1.0,Weighted,13,0.86875
100.0,0.01,Orthogonal,13,0.83671875
100.0,0.01,Projection,13,0.853125
100.0,0.01,Unweighted,13,0.865625
100.0,0.01,Weighted,13,0.86953125
100.0,1.0,Multitask,13,0.8453125
100.0,1.0,Orthogonal,13,0.53984375
100.0,1.0,Projection,13,0.8390625
100.0,1.0,Unweighted,13,0.82421875
100.0,1.0,Weighted,13,0.8453125
3.0,0.01,Orthogonal,13,0.86953125
3.0,0.01,Projection,13,0.8578125
3.0,0.01,Unweighted,13,0.86875
3.0,0.01,Weighted,13,0.85390625
3.0,1.0,Multitask,13,0.86328125
3.0,1.0,Orthogonal,13,0.8546875
3.0,1.0,Projection,13,0.86875
3.0,1.0,Unweighted,13,0.86875
3.0,1.0,Weighted,13,0.86875
30.0,0.01,Orthogonal,13,0.83359375
30.0,0.01,Projection,13,0.86640625
30.0,0.01,Unweighted,13,0.86640625
30.0,0.01,Weighted,13,0.85703125
30.0,1.0,Multitask,13,0.8578125
30.0,1.0,Orthogonal,13,0.81796875
30.0,1.0,Projection,13,0.85234375
30.0,1.0,Unweighted,13,0.85234375
30.0,1.0,Weighted,13,0.86015625
0.01,0.01,Orthogonal,14,0.84609375
0.01,0.01,Projection,14,0.84609375
0.01,0.01,Unweighted,14,0.84453125
0.01,0.01,Weighted,14,0.8453125
